=== NEW SORT RESULT ===
Bus{number='2', model='3', mileage=3}

=== NEW SORT RESULT ===
Bus{number='Number1', model='Model1', mileage=39686}
Bus{number='Number10', model='Model10', mileage=94856}
Bus{number='Number100', model='Model100', mileage=62677}
Bus{number='Number1000', model='Model1000', mileage=53993}
Bus{number='Number1001', model='Model1001', mileage=10243}
Bus{number='Number1002', model='Model1002', mileage=92204}
Bus{number='Number1003', model='Model1003', mileage=22463}
Bus{number='Number1004', model='Model1004', mileage=56091}
Bus{number='Number1005', model='Model1005', mileage=69637}
Bus{number='Number1006', model='Model1006', mileage=80059}
Bus{number='Number1007', model='Model1007', mileage=34971}
Bus{number='Number1008', model='Model1008', mileage=94324}
Bus{number='Number1009', model='Model1009', mileage=81148}
Bus{number='Number101', model='Model101', mileage=37264}
Bus{number='Number1010', model='Model1010', mileage=84215}
Bus{number='Number1011', model='Model1011', mileage=72009}
Bus{number='Number1012', model='Model1012', mileage=43577}
Bus{number='Number1013', model='Model1013', mileage=83610}
Bus{number='Number1014', model='Model1014', mileage=63789}
Bus{number='Number1015', model='Model1015', mileage=45843}
Bus{number='Number1016', model='Model1016', mileage=5102}
Bus{number='Number1017', model='Model1017', mileage=56041}
Bus{number='Number1018', model='Model1018', mileage=34800}
Bus{number='Number1019', model='Model1019', mileage=17090}
Bus{number='Number102', model='Model102', mileage=67551}
Bus{number='Number1020', model='Model1020', mileage=19188}
Bus{number='Number1021', model='Model1021', mileage=98242}
Bus{number='Number1022', model='Model1022', mileage=44785}
Bus{number='Number1023', model='Model1023', mileage=71984}
Bus{number='Number1024', model='Model1024', mileage=53654}
Bus{number='Number1025', model='Model1025', mileage=96779}
Bus{number='Number1026', model='Model1026', mileage=82783}
Bus{number='Number1027', model='Model1027', mileage=46383}
Bus{number='Number1028', model='Model1028', mileage=36300}
Bus{number='Number1029', model='Model1029', mileage=11580}
Bus{number='Number103', model='Model103', mileage=5421}
Bus{number='Number1030', model='Model1030', mileage=19413}
Bus{number='Number1031', model='Model1031', mileage=50923}
Bus{number='Number1032', model='Model1032', mileage=65917}
Bus{number='Number1033', model='Model1033', mileage=51279}
Bus{number='Number1034', model='Model1034', mileage=77342}
Bus{number='Number1035', model='Model1035', mileage=86222}
Bus{number='Number1036', model='Model1036', mileage=6131}
Bus{number='Number1037', model='Model1037', mileage=66496}
Bus{number='Number1038', model='Model1038', mileage=91130}
Bus{number='Number1039', model='Model1039', mileage=49633}
Bus{number='Number104', model='Model104', mileage=18735}
Bus{number='Number1040', model='Model1040', mileage=39059}
Bus{number='Number1041', model='Model1041', mileage=79389}
Bus{number='Number1042', model='Model1042', mileage=27255}
Bus{number='Number1043', model='Model1043', mileage=25746}
Bus{number='Number1044', model='Model1044', mileage=31685}
Bus{number='Number1045', model='Model1045', mileage=85098}
Bus{number='Number1046', model='Model1046', mileage=71}
Bus{number='Number1047', model='Model1047', mileage=21716}
Bus{number='Number1048', model='Model1048', mileage=46827}
Bus{number='Number1049', model='Model1049', mileage=6113}
Bus{number='Number105', model='Model105', mileage=8972}
Bus{number='Number1050', model='Model1050', mileage=37497}
Bus{number='Number1051', model='Model1051', mileage=55443}
Bus{number='Number1052', model='Model1052', mileage=12725}
Bus{number='Number1053', model='Model1053', mileage=54142}
Bus{number='Number1054', model='Model1054', mileage=21449}
Bus{number='Number1055', model='Model1055', mileage=29736}
Bus{number='Number1056', model='Model1056', mileage=50512}
Bus{number='Number1057', model='Model1057', mileage=55698}
Bus{number='Number1058', model='Model1058', mileage=52340}
Bus{number='Number1059', model='Model1059', mileage=28832}
Bus{number='Number106', model='Model106', mileage=69282}
Bus{number='Number1060', model='Model1060', mileage=47212}
Bus{number='Number1061', model='Model1061', mileage=27427}
Bus{number='Number1062', model='Model1062', mileage=64390}
Bus{number='Number1063', model='Model1063', mileage=54952}
Bus{number='Number1064', model='Model1064', mileage=53439}
Bus{number='Number1065', model='Model1065', mileage=45099}
Bus{number='Number1066', model='Model1066', mileage=49096}
Bus{number='Number1067', model='Model1067', mileage=82078}
Bus{number='Number1068', model='Model1068', mileage=79556}
Bus{number='Number1069', model='Model1069', mileage=36212}
Bus{number='Number107', model='Model107', mileage=15882}
Bus{number='Number1070', model='Model1070', mileage=27862}
Bus{number='Number1071', model='Model1071', mileage=41737}
Bus{number='Number1072', model='Model1072', mileage=61844}
Bus{number='Number1073', model='Model1073', mileage=40348}
Bus{number='Number1074', model='Model1074', mileage=51637}
Bus{number='Number1075', model='Model1075', mileage=71269}
Bus{number='Number1076', model='Model1076', mileage=71099}
Bus{number='Number1077', model='Model1077', mileage=23661}
Bus{number='Number1078', model='Model1078', mileage=95330}
Bus{number='Number1079', model='Model1079', mileage=48931}
Bus{number='Number108', model='Model108', mileage=98794}
Bus{number='Number1080', model='Model1080', mileage=40055}
Bus{number='Number1081', model='Model1081', mileage=4332}
Bus{number='Number1082', model='Model1082', mileage=57843}
Bus{number='Number1083', model='Model1083', mileage=12158}
Bus{number='Number1084', model='Model1084', mileage=93214}
Bus{number='Number1085', model='Model1085', mileage=44330}
Bus{number='Number1086', model='Model1086', mileage=74773}
Bus{number='Number1087', model='Model1087', mileage=5392}
Bus{number='Number1088', model='Model1088', mileage=72852}
Bus{number='Number1089', model='Model1089', mileage=89494}
Bus{number='Number109', model='Model109', mileage=81603}
Bus{number='Number1090', model='Model1090', mileage=104}
Bus{number='Number1091', model='Model1091', mileage=32108}
Bus{number='Number1092', model='Model1092', mileage=68403}
Bus{number='Number1093', model='Model1093', mileage=94723}
Bus{number='Number1094', model='Model1094', mileage=15716}
Bus{number='Number1095', model='Model1095', mileage=92034}
Bus{number='Number1096', model='Model1096', mileage=72901}
Bus{number='Number1097', model='Model1097', mileage=53989}
Bus{number='Number1098', model='Model1098', mileage=83037}
Bus{number='Number1099', model='Model1099', mileage=69018}
Bus{number='Number11', model='Model11', mileage=76859}
Bus{number='Number110', model='Model110', mileage=66295}
Bus{number='Number1100', model='Model1100', mileage=9789}
Bus{number='Number1101', model='Model1101', mileage=65911}
Bus{number='Number1102', model='Model1102', mileage=59909}
Bus{number='Number1103', model='Model1103', mileage=97588}
Bus{number='Number1104', model='Model1104', mileage=96161}
Bus{number='Number1105', model='Model1105', mileage=4786}
Bus{number='Number1106', model='Model1106', mileage=67533}
Bus{number='Number1107', model='Model1107', mileage=76997}
Bus{number='Number1108', model='Model1108', mileage=34398}
Bus{number='Number1109', model='Model1109', mileage=34260}
Bus{number='Number111', model='Model111', mileage=38142}
Bus{number='Number1110', model='Model1110', mileage=7287}
Bus{number='Number1111', model='Model1111', mileage=20369}
Bus{number='Number1112', model='Model1112', mileage=53132}
Bus{number='Number1113', model='Model1113', mileage=96255}
Bus{number='Number1114', model='Model1114', mileage=95305}
Bus{number='Number1115', model='Model1115', mileage=23542}
Bus{number='Number1116', model='Model1116', mileage=50618}
Bus{number='Number1117', model='Model1117', mileage=31250}
Bus{number='Number1118', model='Model1118', mileage=3876}
Bus{number='Number1119', model='Model1119', mileage=13314}
Bus{number='Number112', model='Model112', mileage=82342}
Bus{number='Number1120', model='Model1120', mileage=28864}
Bus{number='Number1121', model='Model1121', mileage=37741}
